sItem;sDesc;SECTION
LID32REG;LIDS 150 MM FOR REGUALR KRAFT BOWL 34 OZ (300 UNITS);SEC
LID-001;LIDS FOR 10-12-16 OZ COFFEE CUP - 90MM - 1000PCS;SEC
LID-004;LIDS FOR 12 OZ KRAFT BOWL - 300 UN;SEC
LID-003;LIDS FOR 8 OZ COFFEE CUP - 80MM - 1000PCS;SEC
LID1OZ;LIDS FOR PORTION CUP 1OZ (2500 UNITS);SEC
EMB451;LIDS FOR PORTION CUPS 1.5 / 2 / 2.5 OZ (2500UN);SEC
LIDS325;LIDS FOR PORTION CUPS CLEAR 3.25 & 4OZ (2500UN);SEC
VEGSHORT;LIQUID SHORTENING (16L);SEC
MILKLUCKSW;LUCKY SWEETENED CONDENSED MILK (24X300ML);SEC
AROYDLYCHEE;LYCHEE IN SYRUP (24X540ML);SEC
MACAR9KG;MACARONI 9.07KG;SEC
SAUCEMAGGI6;MAGGI SAUCE / 6 X 800ML;SEC
BAKEPOW;MAGIC - BAKING POWDER (2.5KG);SEC UNIT
MAPLESYRUP1L;MAPLE SYRUP 1L;SEC
SEL-002;MARSEL - COARSE SEA SALT 25KG;SEC
VNGSUSHIRICESM;MARUKAN - SUSHI RICE VINEGAR (3.78L);SEC UNIT
MASECA;MASECA - GLUTEN FREE INSTANT CORN FLOUR (1.8KG);SEC
MEATPAP525;MEAT PAPER 5.25X5.25 (1000UN);SEC
GLOVBLKNITM;MEDIUM NITRIL BLACK GLOVES / 10 X 100 UNITS;SEC
GLOVVINM;MEDIUM VINYL CLEAR GLOVES / 10 X 100 UNITS;SEC
CONTEP6;MFPP WHITE PLASTIC CONTAINER (6X6X3) (250 UN);SEC
CONTM;MFPP WHITE PLASTIC TAKE-OUT CONTAINERS 8X8X3 (150UN);SEC
MINICHOCO;MINI CHOCOLATINE (2 X 400G);SEC
MINICONE78MM;MINI CONE 78MM (140 UNIT);SEC
MINICROIS;MINI CROISSANT (2 X 350G);SEC
TAT-006;MINI SPOON TARTLET 75X30MM;SEC
TARTREG;MINI SWEET RECTANGULAR TARTELET 100% (245 UNITS);SEC
MISO20KG;MISO PASTE SOY BEAN PASTE / 20KG;SEC
MOCHISTRAW;MOCHI CAKE STAWBERRY 200X12;SEC
MONTORIG;MONTELLIER - CARBONATED WATER / 24 X 355ML;SEC
CLAMAORIG;MOTTS - ORIGINAL CLAMATO (8 X 1.89L) (DEPOSIT 0.80$ INCLUDED);SEC
MRNET;MR NET - ALL PURPOSE CLEANER (5.2L);SEC
MU44L;MUSTARD;SEC
SAUCECHED;MUY FRESCO - CHEDDAR CHEESE SAUCE 3KG;SEC UNIT
SUSHIRCNISHI;NISHIKI MUSENMAI - SUSHI RICE (50LBS);SEC
NORIFULL;NORI GOLD FULL SHEET (4000UN) BIG BOX;SEC
OASAPP300;OASIS - APPLE JUICE / 24 X 300ML;SEC
OASOR24;OASIS - ORANGE JUICE / 24 X 300ML;SEC
OLIVECERIGN;OLIVE CERIGNOLA (1.5L);SEC UNIT
ONIGRAN;ONION GRANULATED (2.1KG);SEC UNIT
POWONI;ONION POWDER (2.5KG);SEC UNIT
ORANGINACAN;ORANGINA SPARKLING CITRUS CANS (24X330ML);SEC
OREGLEAVES;OREGANO LEAVES (600G);SEC UNIT
OYSSAU;OYSTER SAUCE PANDA (6X5LBS);SEC
PALM427;PALMOLIVE - DISHWASHER DETERGENT (4.27L);SEC UNIT
PAMCAN;PAM - CANOLA SPRAY / ALLERGEN-FREE / 6 X 400GR;SEC
PANKO9;PANKO BREAD CRUMBS (9KG);SEC
RICEPARB20;PAR EXCELLENCE- PARBOILED LONG GRAIN RICE (20KG);SEC
PARCHPAP;PARCHMENT PAPER BAKING 16 X 24 (1000UN);SEC
PARSFLAK;PARSLEY FLAKES (400G);SEC UNIT
BANYELLOWPCS;PCS YELLOW BANANA;SEC
PAPERPEACH;PEACH PAPER 8X11 (1000UN);SEC
SAUCEPEANUT;PEANUT SAUCE ARACHIDE (12X203ML);SEC
PEANUTSKINLESS;PEANUTS SKINLESS (5LBS);SEC UNIT
TABLESYR;PEARL MILLING - TABLE SYRUP / 3.78 L;SEC UNIT
PENNERIG;PENNE RIGATE (2 X 4.54KG);SEC
PEPSIDT32;PEPSI DIET 32X355ML (ECOFEES 0.32 INCLUDED);SEC
PEPSI32;PEPSI ORIGINAL 32X355ML (ECOFEE 0.32 INCLUDED);SEC
PEPSIZR32;PEPSI ZERO 32X355ML (ECOFRAIS 0.32 INCLUS);SEC
PERRIER500;PERRIER - CARBONATED NATURAL WATER / 24 X 500 ML;SEC
WATPERRIERCAN;PERRIER - CARBONATED WATER IN CANS (24X330ML);SEC
WATPERRIERGLASS;PERRIER - CARBONATED. WATER IN GLASS BOTTLES  / 24 X 330ML;SEC
PH;PH MILLS - STRONG BAKERS FLOUR (20KG);SEC
EASYOFF;PHARAON - EASY OFF AEROSOL OVEN CLEANER (510GR);SEC UNIT
PINESOL518;PINESOL MULTI SURFACE (3X5.18L);SEC UNIT
GIN-001;PINK MARINATED GINGER SUSHI (1X25LBS) CHINE;SEC
SOYAPAPPNK;PINK SOYA PAPER (X10PACKS);SEC
PINTOBEAN;PINTO BEAN (6 X 2.84L);SEC
FARPIZZA20KG;PIZZA FLOUR / 20KG;SEC
PLANT;PLANTAIN BANANA;SEC
LIDSALUM7;PLASTIC DOME LIDS 7 INCH FOR ALUMINUM PLATES (500UN);SEC
LIDSALUM8;PLASTIC DOME LIDS 8 INCH FOR ALUMINUM PLATES (500UN);SEC
FORKPLAST;PLASTIC FORKS (1000UN);SEC
SPOONPLAST;PLASTIC SPOON (X1000UN);SEC
POK-010;POCKY CHOCOLATE SMALL (16X10X40GR);SEC
POK-020;POCKY GREEN TEA (16X10X40GR);SEC
POISJAUNE;POIS JAUNES ENTIERS 10 KG;SEC
HAP-010;POIS WASABI HAPI (12X120GR);SEC
PAPRIKASP;POIVRON (1.8 KG);SEC UNIT
GLV-001;POLYETHYLENE GLOVES / MEDIUM /  500UN;SEC UNIT
CUPBAS1;PORTION CUP 1OZ (2500UN);SEC
CUPBAS15;PORTION CUPS CLEAR BASE 1.5OZ (2500 UNITS);SEC
QUINOA;PROVENANCE GRAINWAYS - WHITE QUINOA  / 5KG;SEC UNIT
POW-001;PURPLE UBE SWEET POTATO POWDER (227G);SEC
CAJUNNUTS;RAW CASHEW (1KG);SEC UNIT
LEMONJUICE38;REAL LEMON - LEMON JUICE 3.8L;SEC
REALLIME12;REALIME - LIME JUICE (12X440ML);SEC
REDBULL24;RED BULL 24X250ML;SEC
