Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
BEEFGRND,GROUND BEEF FRESH 5KG,64.9000 
BEEFINSIDED,DENUDED BEEF INSIDE / KG,22.5000 
BEEFSB,BERTHELET - BEEF SOUPE BASE / 5KG,53.9500 
BEEFSHOUL,BEEF SHOULDER BONEOFF / KG,16.2500 
BEEFTONGUE,BEEF TONGUE (KG),19.9500 
BEEFVEGDUMP,BIBIGO MANDU BEEF & VEGETABLE DUMPLINGS / 12 BAGS,160.7500 
BEETS,RED BEETS (25LBS),28.4500 
BEETSHALF,( HALF / DEMI ) RED BEETS / BETTERAVE ROUGE  =12.5LBS,14.5000 
BEETSLBS,LBS RED BEETS,1.5500 
BEETSLICE,SLICED BEETS IN CANS (2.84L),13.0000 
BEETSVAC,COOKED BEETS VACUUM (12X398ML),28.0000 
BEETSYEL,YELLOW BEETS (25LBS),54.9000 
BEETSYELLBS,LBS YELLOW BEETS,2.5000 
BELCO,BELCOLADE - CHOCOLAT PASTILLE 55%  (5 KG),124.9000 
BELCOBLANC,BLANC BELCOLADE - CHOCOLAT PASTILLE (5 KG),124.9000 
BELJT,BELVARIO - TOMATO JUICE (6 X 2.84L),35.5000 
BELLCON,BELL ORTO - TOMATE BROYEE CONCENTREE / 6 X 2.84L,68.2000 
BELLPUR,BELL ORTO - CRUSHED TOMATO / 6 X 2.84L,69.9500 
BELVABROY,BELVARIO - CRUSHED TOMATO (6 X 2.84L),42.9500 
BELVADES,BELVARIO - DICED TOMATO (6 X 2.84L),40.9500 
BELVAPATE,BELVARIO - TOMATO PASTE (6 X 2.84L),56.9500 
BERTHELETBBQMIX,BERTHELET - BBQ SAUCE MIX (18-21KG),188.8000 
BETELLEAV, BETEL LEAVES 100G,4.5000 
BETTE,BETTE A CARDE GREEN (24UN),48.9500 
BEURRENON25,UNSALTED BUTTER / 25KG,319.7000 
BEURREPORT,PORTION BUTTER (300 X 5.5GR),35.4500 
BEYONDBURGER,BEYOND MEAT BURGER / 40UN,111.6500 
BFIRON,BEEF FLAT IRON (KG),18.9500 
BIFTEQUE,THE KEG- STEAK SPICE / 1.1KG,11.4500 
BIRFORKS,BIRCH FORKS (1000UN),20.0000 
BIRKNIFE,BIRCH KNIFES (1000UN),20.9900 
BIRSPOON,BIRCH SPOON (X1000UN),20.0000 
BIRSPOONWR,BIRCH SPOON INDIVIDUALLY WRAPPED (500UN),27.5500 
BIRTRIOWR,BIRCH CUTLERY TRIO WRAPPED (250UN),21.9500 
BIRYANI,BOMBAY BIRYANI / 144 X 60 G,269.7500 
BISCUITSODA,ZESTA - SODA CRACKER BIG BOX (500X2X6GR),24.5500 
BITTCARDA,BITTERS CARDAMOME 118ML,29.9500 
BITTERCUC,BITTERS CUCUMBER 4OZ,31.5500 
BITTERS,JAPANESE BITTERS- SHISO 100ML,35.0500 
BITTERSRHB,BITTERS RHUBARBE - FEE BROTHERS,17.5500 
BITTLIMELEAF,BITTERS LIME LEAF (118ML),30.1000 
