Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
GING,BOX GINGER 30LBS,52.9000 
GINGBIO,ORGANIC/BIO FRESH GINGER (30LBS),81.9000 
GINGCAN,CANADA DRY - GINGER ALE 32X355ML (ECOFEE 0.64 INCLUDED),21.6000 
GINGHALF,( HALF / DEMI ) GINGER  =15LBS,26.9500 
GINGLBS,( POUND ) GINGER FRESH,2.0500 
GINGMINC120,MINCED GINGER (120GR),3.5000 
GINGMINCED,MINCED GINGER (12X140 ML),23.7500 
GLOVBLKNITL,LARGE NITRIL BLACK GLOVES / 10 X 100 UNITS,54.9500 
GLOVBLKNITM,MEDIUM NITRIL BLACK GLOVES / 10 X 100 UNITS,54.9500 
GLOVBLKNITSM,SMALL NITRIL BLACK GLOVES / 10 X 100 UNITS,54.9500 
GLOVNIXL,XL NITRIL BLACK GLOVES / 10 X 100 UNITS,54.9500 
GLOVVINL,LARGE VINYL CLEAR GLOVES / 10 X 100 UNITS,34.9500 
GLOVVINM,MEDIUM VINYL CLEAR GLOVES / 10 X 100 UNITS,34.9500 
GLOVVINS,SMALL VINYL CLEAR GLOVES / 10 X 100 UNITS,34.9500 
GLOVVINXL,XLARGE VINYL CLEAR GLOVES / 10 X 100 UNITS,34.9500 
GLURICEFLOUR400,ERAWAN - WHITE GLUTINOUS RICE FLOUR / 30 X 400G,44.9500 
GLV-001,POLYETHYLENE GLOVES / MEDIUM /  500UN,4.2500 
GLV-002,POLYETHYLENE GLOVES / LARGE / 500UN,4.2500 
GOAT600,GOAT CHEESE / 2 X 300G,14.5500 
GOATCHEESE1KG,GOAT CHEESE / 1KG,24.1000 
GOB-011,SURIMI SUSHI MAKI STICK - (5X1KG),0.0000 
GOB-012,IMITITATION CRAB MEAT FLAKES - 4 X 2.5 LB - OCEANIC,38.9500 
GOB-013,GOBERGE - SURIMI IMITATION CRAB STICKS - 10 CM (20X500G),89.9000 
GOCHUJIANG1,GOCHUJIANG / 1KG,12.0000 
GOOSELIVER,GOOSE LIVER (220G),97.9000 
GRAHAM,GRAHAM CRUMBS (5KG),33.0000 
GRANAPADA,GRANA PADANO GRATED (1KG),35.9500 
GRAPFRTPCS,( PCS ) GRAPEFRUIT,0.9500 
GRAPFRUIT,GRAPEFRUIT,39.0000 
GRB-007,GROUPER FILETS 3-5LBS SKIN OFF - (1 X 25LBS) - VZ,373.4000 
GRCHILLBS,LBS GREEN CHILLI PEPPERS,6.6500 
GREEKPEP,GREEK PEPPERONCINI (4 X 3.85L),36.2500 
GREENB,FRESH GREEN BEANS,75.9000 
GREENBHALF,HALF FRESH GREEN BEANS,38.7000 
GREENBLBS,LBS GREEN BEANS,3.4500 
GREENLEN,GREEN LENTILS IN CAN (6 X 2.84L),49.9500 
GRELOT,WHITE GRELOT POTATOES (50LBS),17.7500 
GRELOTHALF,( HALF / DEMI ) WHITE GRELOT / PATATE GRELOT BLANC  =25LBS,9.9500 
GRELOTLBS,LBS WHITE GRELOT POTATOES,0.6500 
GRELOTYEL,YELLOW GRELOT POTATOES (50LBS),17.7500 
GRELOTYEL5,LBS YELLOW GRELOT POTATOES,0.6500 
GRELPEEL,GEMME - GRELOT PEELED FRESH POTATO (10KG),12.0000 
GRIGNON,OLIVE POMACLE OIL 20L,127.9000 
GRNBEE27MG,FROZEN LEAN GROUND BEEF / 2 X 5 KG,57.4500 
GRNCHER,PACK GROUND CHERRY,2.9500 
GRNDBEEF27KGMED,MEDIUM GROUND BEEF / FULL BOX (6X4.5KG),269.7500 
GRNDCHICK,FROZEN GROUNDED CHICKEN REGULAR (5 KG),58.7000 
GRNDLAMB,GROUND LAMB - AGNEAU HACHE / KG,36.7000 
GRNDTURK,GROUND TURKEY (KG),13.0000 
GRP-001,GROUPER WHITE - 5/7OZ - (1X10LBS) - ECUADOR,0.0000 
GRP-006,COURVINE FILET 6-8OZ- S/ON(1X10LBS)-VEN,0.0000 
GRP-007,GROUPER FILLETS 3-5 SKIN OFF 1X25,393.1500 
GRPG,GREEN GRAPES 18LBS,59.9000 
GRPGHALF,( HALF / DEMI ) GREEN GRAPES / RAISIN VERT   =4BAGS,29.9000 
GRPGUN,(BAG) GREEN GRAPES,7.6500 
GRPR,RED GRAPES 18LBS,49.9000 
GRPRHALF,( HALF / DEMI ) RED GRAPES / RAISIN ROUGE   =4BAGS,25.4000 
GRPRUN,(BAG) RED GRAPES,6.6500 
GT1L,BOX GREEN TOMATOES PUTTERS (12X1L),49.9500 
GT20L,PAIL (GT) GREEN TOMATOES (20L),59.4500 
GUAJILL,DRIED WHOLE CHILI GUAJILLO (5LBS),42.5000 
GUM-010,GUMMY KASUGAI MANGO (24X102G),46.9500 
GYOZA650,GYOZA BEEF / 12 X 650G,79.9500 
GYOZACHICK,CHICKEN GYOZA (AU POULET) 4X1KG BOX,0.0000 
GYOZADOUBL,WING - WONTON WRAPPER KOU TIEH DOUBLE THICKNESS / 24 X 340G,70.0500 
GYOZAPORK,PORK GYOZA (AU PORC) 12X1LBS BOX,0.0000 
GYRO SLICED,OLYMPIA 270 FULLY COOKED GYRO MEATLOAF SLICES (20LBS),149.1500 
HALFPEAR,PEAR HALVES IN SYRUP / 2.84L,20.0000 
HALLOUMI,HALLOUMI CHEESE 10KG,219.8000 
HAM,HAM (DESCO),0.0000 
HAMACHI,HAMACHI FILLETS (LB),17.0500 
HAMDICED,SALAMINA - (7020)  COOKED DICED HAM / 5KG,55.2500 
HANGSAA,FRESH HANGER STEAK FRESH AA (KG),21.7500 
HAP-010,POIS WASABI HAPI (12X120GR),28.0000 
HARICBLACK12,BLACK BEANS IN CANS (12X540ML),16.5500 
HARICOTBLACK,CLIC- HARICOT NOIR (2.84L),5.1000 
HARICOTCAN,RED BEANS IN CAN (6X2.84L),38.0000 
HASH,CAVENDISH (4510) HASHBROWN PATTIES (6X5LBS),64.5000 
HATABLUEB,HATA RAMUNE DRINK BLUEBERRY 30X200ML,53.5000 
HATALYCH,HATA RAMUNE DRINK LYCHEE 30X200ML,53.5000 
HATAORANGE,HATA RAMUNE DRINK ORANGE (30X200ML),53.5000 
HATAPEACH,HATA RAMUNE DRINK PEACH 30X200ML,59.9500 
HATASTRAW,HATA RAMUNE DRINK STRAWBERRY 30X200ML,53.5000 
HATAWATERM,HATA RAMUNE - WATERMELON / 30 X 200ML,53.5000 
HAVARTIJAL,HAVARTI CHEESE JALAPENO (APPROX. 3.25KG),65.4500 
HAVARTIJAL2,HAVARTI CHEESE JALAPENO (APPROX. 4.2KG),81.8500 
HBR24L,(2X4L) HOT SLICED BANANA,29.5000 
HBR750,BOX SLICED HOT PEPPERS (12X750ML),49.9500 
HBW24L,(2X4L) HOT BANANA WHOLE,34.7500 
HBW750,BOX HOT BANANE WHOLE 12X750ML,49.9500 
HC24L,(2X4L) HOT CHERRY,31.5000 
HC750,BOX HOT CHERRY PEPPERS (12X750ML),49.9500 
HDCBONEIN,CHICKEN THIGHS / SKIN OFF / BONE *IN* / (KG),9.5500 
HEINEKENZERO,HEINEKEN ZERO (24 X 330ML),39.9500 
HEINZJUICE12,HEINZ - TOMATO JUICE / 12 X 1.36L,46.9500 
HEINZJUICE6,HEINZ - TOMATO JUICE IN CANS (6X2.84L),44.9500 
HEINZKETCHUP4,HEINZ - KETCHUP IN PLASTIC JAR *BIG RED* (4 X 2.84L),48.9500 
HEINZPASTE,HEINZ - TOMATO PASTE (6X2.84L),99.9000 
HELLMANMAYO4,HELLMANNS - MAYONNAISE ** 4.25 L **,25.5000 
HELLOPANBLVAN,HELLO PANDA - BLEU VANILLE / 10 X 57G ,24.2500 
HELLOPANSTRAW,HELLO PANDA - PINK STRAWBERRY / 10 X 57G,24.2500 
HIBISCUS5LBS,FLOR DE JAMAICA - HIBISCUS FLOWER 5LBS,36.7000 
HOLLBR,QUALIFRESH CUBES,35.4000 
HOLLFF,QUALIFRESH 7/16,35.4000 
HOLLSAUC,ROSE HILL - HOLLANDAISE SAUCE MIX / 6X800G,133.7500 
HOLYBASIL,HOLY BASIL FROZEN PACK (125 G),5.0000 
HOM-026,LOBSTER SHELL - FROZEN - (25 LBS/CS),74.9500 
HOM-029,LOBSTER TAILS 4OZ CANADIAN (10LBS),299.7500 
HOM-030,LOBSTER TAILS - FROZEN - (5-6OZ) - (1 X 10 LBS/CS),319.7000 
HOM-061F,FRESH COOKED LOBSTERS - 1.5 - 2 LB - CW - QC,23.0000 
HOM-063F,FRESH LIVE LOBSTERS - 1 - 1.5 LB - CW - QC,14.3500 
HOM-064F,FRESH LIVE LOBSTERS - 1.5 - 2 LB - CW - QC,14.3500 
HOM-077,HOMARD- CHAIR HOMARD CUITES- FIBRES- 5X4KG,0.0000 
HOM-079,FROZEN COOKED LOBSTER MEAT - (12 X 11.3 OZ) - CAN,289.7500 
HOM-079/UNIT,FROZEN COOKED LOBSTER MEAT - (1 X 11.3 OZ) - CAN,26.9500 
HOM-081,LOBSTER MEAT HPP -CK-CRUE-(6X2LB)-CAN,0.0000 
HOM-086,RAW LOBSTER TAIL MEAT - (10 X 1LBS) - VEN,503.5500 
HOM-087,RAW LOBSTER LEG MEAT - (10 X 1LBS) - VEN,261.7500 
HOM-088,LOBSTER MEAT - RAW TAIL 60% AND LEGS 40% - (10 X 1LBS) - VEN,399.6500 
HONEY,HONEYDEWS SIZE 6-8,39.0000 
HONEYBIO1,HONEY BIO (1KG),14.2500 
HONEYKIRK3,KIRKLAND - HONEY (3KG),29.9000 
HONEYLRG,JBO HONEYDEW SIZE 5,35.0000 
HONEYPCS,PCS HONEYDEW JUMBO SIZE #5,9.5000 
HORSRAD,LBS HORSERADISH,8.9500 
HOTDOG01,COCKTAIL HOTDOG / 24 X 450G,41.9500 
HOTDOGPAPER,HOTDOG PRINTED PAPER BAGS (2000UN),58.7500 
HO-YA,SAUCE VIETNAMIENNE AU PIMENT FORT SRIRACHA 1L (LIQUIDATION),3.0000 
HS20L,PAIL HALF SOURS,61.1000 
HSAUCE,BOTTLE HOT SAUCE,17.5500 
HT20L,PAIL SLICED PICKLES,56.4500 
HUILEBEURRE,HUILE AROME BEURRE 3 X 3.78L (LIQUIDATION),49.9500 
ICE,ICEBERG **QC**  LETTUCE,34.0000 
ICECHOC,CHOCOLAT ICE CREAM 11.4 L,30.7000 
ICEHALF,( HALF / DEMI ) ICEBERG LETTUCE / LAITUE ICEBERG  =12,22.0000 
ICEPCS,PCS ICEBERG LETTUCE,1.9500 
ICEVANI,VANILLA ICE CREAM 11.4 L,30.7500 
IMPOSNUG,IMPOSSIBLE FOOD - VEGE. CHICKEN NUGGETS (2X2.27KG),97.7000 
INSBLTS,SUSHI TAXI - BOWL INSERTIONS FOR 24 OZ  (6 X 50UN),40.1000 
INSTANTYEAST,FLEISCHMANNS - INSTANT DRY YEAST / 454G,8.0000 
INSUL,INSULATING SLEEVE / SPIRULINA,56.2000 
INSULATED10.5,INSULATED ALUMINIUM SHEET 10.5X13 (1000UN),35.9500 
IOGOFRAISE,IOGO - STRAWBERRY YOGURT 1.5% 2KG,17.5000 
IOGOPECHE,YOGOURT PEACH 1.5% (2KG),12.1000 
IOGOVAN,IOGO - VANILLA YOGOURT (4 X 2KG),49.9000 
ITALDELSP,ROSE HILL- HERBES ITALIENNES (250G),8.6000 
ITALSAUSSLICED,**DO NOT USE***,51.9500 
ITALSAUSTOPP,SALAMINA - (7010) ITALIAN SAUSAGE TOPPING (5KG),49.9500 
ITLDRESS,GOLDEN ITALIEN BOTTLE,21.3500 
JACKFRUIT,JACKFRUIT,62.7000 
JALPOPP,FROZEN JALAPENO POPPERS (2.5LBS),37.7500 
JALRLB,( POUND ) **RED** JALAPENO PEPPER,15.0000 
JARRGRPFRT,JARRITOS GRAPEFRUIT (24X370ML),41.2500 
JARRLIME,JARRITOS LIME (24X370ML),41.2500 
JARRMANDA,JARRITOS MANDARIN (24X370ML),41.2500 
JARRMANGO,JARRITOS MANGO (24X370ML),41.2500 
JARRPINE,JARRITOS PINEAPPLE (24X370ML),41.2500 
JARRSTRAW,JARRITOS STRAWBERRY (24X370ML),41.2500 
JARRTAMA,JARRITOS TAMARIND (24X370ML),41.2500 
JASROSE,ROSE BRAND - JASMIN RICE 20KG,54.9500 
JBEETS,FRESH - SHREDDED BEETS (5 KG),26.9500 
JICAMA,JICAMA,63.2000 
JPN-001,HAMACHI FILLETS (1.5-2KG) (1X35 LBS) CW J&F,22.4000 
JPN-002,FARM-RAISED HAMACHI FILLET - FROZEN - (2 KGS +/PC) - (11-15 KGS/CS) - JAPAN,0.0000 
JPN-004,HAMCHI FILLETS 25-30 LBS CW AUS,18.9500 
JSHORE,(00050) JERSEY SHORE FRIES,44.2500 
JUICECRAN,CRANBERRY JUICE (2X1.89L),15.9500 
JUICEYUZU,YUZU JUICE 500ML,20.9500 
JUMBOSTRAW,BLACK JUMBO PAPER STRAW 12MM (20 X 100UN),119.9000 
JUSANA,FAIRLEE - PINEAPPLE JUICE / 12 X 1L,44.9000 
JUSLEG1L,VEGETABLE JUICE / 6 X 1L,34.9500 
JUSORANGE,FAIRLEE - ORANGE JUICE / 12 X 1L,38.0000 
KABOSQUA,BUTTERCUP SQUASH,39.5000 
KALAJUMBO,JUMBO OLIVES,94.6500 
KALAMASYR,KALAMANSI SYRUP 500ML,21.9500 
KALAMOLIVE,LARGE OLIVES 8KG,64.9000 
KALAS,KALAS - SEA SALT (3X750G),6.5500 
KALCOL,OLIVES COLOSSAL,108.0000 
KALE,KALE GREEN (X24),46.9000 
KALEHALF,( HALF / DEMI ) GREEN KALE / KALE VERT,23.8000 
KALEPCS,PCS KALE,2.2500 
KALPIT,PITTED KALAMATA OLIVES ( 7KG ),82.9000 
KALSLICE,SLICED KALAMATA OLIVES (10KG),92.7000 
KANISHRED,SHREDDED KANIKAMA (12X2.5LBS),154.8500 
KAP,KAPOW - DUMPLING PORK & VEGETABLE / 4X1KG,58.5000 
KAPCHIK,KAPOW - DUMPLING CHICKEN & VEGETABLE / 4X1KG,59.9000 
KAPKIMCHI,KAPOW - DUMPLING KIMCHI & CHICKEN / 4X1KG,58.5000 
KAPKIMPOR,KAPOW - DUMPLING KIMCHI & PORK / 4X1KG,58.5000 
KAPSPRING,KAPOW - VEGETABLE SPRING ROLL 1OZ / 200UN,47.9500 
KAPVEG,KAPOW - DUMPLING VEGETABLES / 4X1KG,61.9000 
KAPWAG,KAPOW - DUMPLING WAGYU BEEF / 4X1KG,68.8500 
KARNATZEL,BEEF KARNATZEL / KG,17.7500 
KASURI,KASURI METHI - KAMAAL / 6 X 1 KG,91.9000 
KEFACHEESE,KEFALOGRAVIERA CHEESE - CHELMOS,334.7000 
KETCH12X375,HEINZ - KETCHUP SQUEEZE BOTTLE / 24 X 375ML,53.9500 
KETCHUP2X1.25L,HEINZ - KETCHUP (4 X (2X1.5L)),58.9500 
KETCHUP4L,KETCHUP (4 X 4L),58.9500 
KETCHUPSACH,KETCHUP PACKETS (X1000),58.9500 
KEWPIEMAYO,KEWPIE JAPANESE MAYONNAISE (20 X 450G),104.9000 
KIDNB,KIDNEY BEANS 4KG,25.4500 
KILOCAR,KILO BEAUX GATEAUX - CAROTTES,37.9500 
KILOCHOCO,KILO BEAUX GATEAUX - DOUBLE CHOCOLAT 12,69.6500 
KILODULCE,KILO BEAUX GATEAUX - DULCE DE LECHE,46.0000 
KILOFROM,KILO BEAUX GATEAUX - FROMAGE NATURE 3 AVEC GRAHAM,67.5500 
KILOMNTBLC,KILO BEAUX GATEAUX - MONT-BLANC AUX FRAMBOISE,37.8000 
KILOMOUSSE,KILO BEAUX GATEAUX - MOUSSE AU CHOCOLAT NOIR,58.6500 
KILOPACANE,KILO BEAUX GATEAUX - TARTE AUX PACANES,28.0000 
KILOTIRA,KILO BEAUX GATEAUX - TIRAMISU MASCARPONE,58.6500 
KILOVELOUR,KILO BEAUX GATEAUX - VELOURS ROUGE ET FRAMBOISES,37.9500 
KIMCHIFRESH,FRESH KIM CHI 10KG,72.9500 
KIMCHISAMYANG,SAMYANG - KIMCHI RAMEN / 20 X 120G ,29.5500 
KINGOY,ORGANIC KING OYSTER MUSHROOMS (3LBS),39.9500 
KIWI,KIWI,64.9500 
KIWIHALF,( HALF / DEMI ) KIWI,33.1500 
KIWIPCS,PCS KIWI,0.9500 
KIZAMI,KIZAMI SHREDDED SEAWEED,10.1000 
KLEENEX20,SCOTTIES -  KLEENEX TISSUES 2 PLY / X20,34.9000 
KNIFEPLAST,PLASTIC KNIFES (1000UN),18.0000 
KODIAKBLUE,KODIAK - FOOD SERVICE BLUE CLOTHS (200UN),20.0000 
KOHLRABI,GREEN KOHLRABI (24UN),84.9000 
KOPAN,KOPANISTI (CARDINAL DU NORD),0.0000 
KPCHEESE,KINGSEY - POUTINE CHEESE CURDS 50 X 60G,55.9000 
KRACHAI,PICKLED KRACHAI BOX (24 X 454G),114.9000 
KRACHAIBOX,PICKLED KRACHAI UNIT (454 G),5.7000 
KRAFTBOX2,#2 TAKEOUT KRAFT BOX (160UN),51.0500 
KRAFTBOX3,#3 TAKEOUT KRAFT BOX (200UN),40.9500 
KRAFTCHOU,KRAFT - COLESLAW SAUCE - (2 X 3.78L),67.9500 
KRAFTCUP4OZ,KRAFT PAPER CUPS 4OZ BASE ONLY (1000UN),64.5000 
KRINFET,KRINOS - FETA CUBES / 3KG,45.2500 
KUMQUAT,KUMQUAT,60.8500 
LACHAUD80,(544) - LA CHAUDIERE - POUTINE CHEESE IN SMALL BAGS (80 X 80GR),123.8500 
LACHAUDIEREFROM,(508) - LA CHAUDIERE - SMALL GRAIN POUTINE CHEESE / 4 X 2KG,117.9000 
LACHAUDIEREUNIT,(508) - LA CHAUDIERE - SMALL GRAIN POUTINE CHEESE / 2KG (UNIT),29.9500 
LACTFREEYOG,LACTOSE FREE VANILLA YOGURT 2KG,17.5000 
LAITGODET200,MILKER 2% (100 X 15ML),7.0000 
LAMBLEGBL,BONLESS LAMB LEG / KG,18.3500 
LAMBLOIN,FROZEN LAMB LOIN CHOPS (KG),32.8500 
LAMBRACK,FROZEN LAMB RACKS (KG),45.9500 
LAMBSHANK,FROZEN LAMB SHANKS (KG),17.2000 
LAMBSHOULDER,FROZEN LAMB SHOULDER / BONE OFF (KG),18.7000 
LANCASTER,6 INCH DENTELLE LANCASTER (1000 UNITS),31.9500 
LANTHIERBUNS,LANTHIER - BRIOCHE BURGER BUNS (14X6UN),55.5500 
LAVACAKE,MOLTEN LAVA CAKE PORTIONS (24UN),99.9000 
LCBLOCKBL,ARMSTRONG - BLOCK WHITE CHEDDAR CHEESE (2.25KG),39.9500 
LCBLOCKJAU,ARMSTRONG - BLOCK YELLOW CHEDDAR CHEESE (2.25 KG),39.9500 
LCBLOCKMARB,ARMSTRONG - BLOCK MARBLE CHEDDAR CHEESE (2.25 KG),39.9500 
LCCHEDRAP,(2010) LA CHAUDIERE - SHREDDED WHITE CHEDDAR CHEESE (2 KG),34.9500 
LCTRANCHEBL,LA CHAUDIERE - SLICED WHITE CHEESE PORTIONS (12 X 21G),8.9500 
LCTRANCHEMAR,LA CHAUDIERE - SLICED MARBLE CHEESE PORTIONS (12 X 21G),8.9500 
LEA&PERRINS,LEA PERRINS - WORCESTERSHIRE SAUCE (2 X 3.7 L),71.9500 
LEAFLET,LEAF GREEN LETTUCE (24UN),26.0000 
LEAFLETHALF,HALF LEAF GREEN LETTUCE (24UN),18.0000 
LEAFLETRED,RED CURLY LEAF LETTUCE (24UN),32.6500 
LEAFPCS,PCS LEAF LETTUCE,1.5000 
LEEKPCS,PCS LEEKS,2.9500 
LEEKS,1 DOZEN LEEKS  (X12),24.9500 
LEEKSLICE,FRESH PRECUT SLICED LEEKS (5 KG),45.2000 
LEGJOUR,FROZEN DAILY VEGETABLE / 2 KG,19.1500 
LEM,LEMONS / CITRON,52.9000 
LEM2,LEMONS #2**,31.0000 
LEMGRASGRND,LEMONGRASS GROUNDED / CitronNelle rapee congelEE 454g,5.3500 
LEMGRASS,LBS FRESH LEMONGRASS,104.2000 
LEMGRASS2,LBS LEMON GRASS,3.5000 
LEMHALF,( HALF / DEMI ) LEMON / CITRON,26.9500 
LEMONGRASS1KG,FROZEN CHOPPED LEMONGRASS 20X1KG,89.9000 
LEMONJUICE38,REAL LEMON - LEMON JUICE 3.8L,13.7500 
LEMPCS,( PCS ) LEMONS,0.6500 
LENTGRE,GREEN LENTILS (10KG),28.0000 
LENTRED,RED LENTILS / 10KG,28.9500 
LETUBOS,**AQUA VERTI** BOSTON LETTUCE (2 X 1.5LBS),25.7000 
LGEGGS,LARGE WHITE EGGS (15X12UN),53.5500 
LID1OZ,LIDS FOR PORTION CUP 1OZ (2500 UNITS),17.2000 
LID32REG,LIDS 150 MM FOR REGUALR KRAFT BOWL 34 OZ (300 UNITS),31.5500 
LIDS1020,CLEAR LIDS DOME FRO CUPS OF 10 TO 20 OZ,27.2500 
LIDS12OZ,LIDS FOR 12OZ CUPS / CAFE CIOCIAROS,44.2500 
LIDS165,LIDS FOR 16OZ DRINK CUPS,28.8500 
LIDS325,LIDS FOR PORTION CUPS CLEAR 3.25 & 4OZ (2500UN),39.9500 
LIDS40Z,LIDS FOR 4OZ CUPS / CAFE CIOCIAROS,32.2500 
LIDS4BOL150,CLEAR LIDS #150 FOR 26OZ BOWL,29.9500 
LIDS4BOL165,CLEAR LIDS #165 FOR 38OZ BOWL (300UN),31.5500 
LIDS4BOL90,CLEAR LIDS #90 FOR 8OZ BOWL,20.7500 
LIDS4BOL97,CLEAR LIDS #97 FOR 16 OZ BOWL / 500 UNITS,21.1000 
LIDS5,LIDS FOR PORTION CUP 5.5 OZ / 2500 UNITS,41.9500 
LIDS8OZ,LIDS FOR 8OZ CUPS /CAFE CIOCIAROS,41.7000 
LIDSALUM7,PLASTIC DOME LIDS 7 INCH FOR ALUMINUM PLATES (500UN),19.2500 
LIDSALUM8,PLASTIC DOME LIDS 8 INCH FOR ALUMINUM PLATES (500UN),34.9500 
LIDSALUM9,PLASTIC DOME LIDS 9 INCH FOR ALUMINUM PLATES (500UN),32.0500 
LIMBB,BIG BOX LIMES SIZE 200,43.9000 
LIMBBHALF,(HALF / DEMI) BIG BOX LIMES = 100 UNITS,22.1000 
LIME,SMALL BOX LIMES,19.7500 
LIME175,LIMES (BIG BOX) SIZE 175,43.9000 
LIMELEAF,FRESH LIME LEAF PACK,8.9500 
LIMESTONE,LIME STONE PASTE (100 G),4.5000 
LIMPCS,( PCS ) LIME,0.3500 
LINGU,LINGUINE 20 INCH / 20LBS,36.9500 
LIQUIDEGG,FRESH LIQUID WHOLE EGG / 20KG,113.9000 
LIQUIDGLU,LIQUID GLUCOSE 20KG,68.9000 
LKKSACH, HOISIN SAUCE PORTION BAG/  500 X 7G ,39.2500 
LOBTAIL55,LOBSTER TAILS SPLIT 5.5 OZ CANADIAN (8.25LBS),284.7500 
LOGSALAMI,LOG SALAMI / KG,0.0000 
LONGEPOR,FRESH PORK LOIN (KG),6.2000 
LOTROOT,LOTUS ROOT,88.9000 
LOU-002F,DO NOT USE,0.0000 
LOU-003F,ATLANTIC SEA BASS - FRESH - (800/1000 G) - CYPRUS,0.0000 
LOU-007F,DO NOT USE,203.8000 
LOU-024F,FRESH SEA BASS - 400-600 - LBS - TURKEY,9.8500 
LOU-025F,FRESH SEA BASS - 600-800 - LBS - TURKEY,10.6500 
LOU-026F,FRESH SEA BASS - 800-1000 - LBS - TURKEY,12.4000 
LOU-033F,ATLANTIC SEABASS - FRAIS - (800/1000G) - GREECE,13.9500 
LOUMIFF,(BCI00256) - MCCAIN BREW CITY BEER BATTERED SKIN ON MAXI FRIES (6 X 5LBS),57.9500 
LTE-002F,FRESH MONKFISH TAIL - CW - GASPÉSIE,0.0000 
LWMASH,LAMB WESTON -  YUKON MASH POTATO (M0011),69.0000 
LYCHEE,FRESH LYCHEE (10 LBS),73.2000 
MACAR9KG,MACARONI 9.07KG,39.9500 
MACARICOPIRI,MACARICO - PIRI-PIRI SAUCE / SAUCE PIRI-PIRI (6 X 2.1L),86.9000 
MACHELET,MACHE LETTUCE (9 X 125GR),35.4500 
MADFF,CAVENDISH - SELECT PLUS 1/4 SKIN ON,40.0500 
MAH-001,MAHI-MAHI- FILLETS 1-3LBS IVP  (1X50LBS) PERU,636.9500 
MAH-010,MAHI-MAHI PORTIONS 1/3 OZ - 10 LBS,47.5000 
MAH-011,MAHI MAHI 1-20Z- 10LB/CS,0.0000 
MAISENT,WHOLE BABY CORN (6 X 2.84L),79.9500 
MAMAFF,3/8 ZARRA FF,31.5500 
MAMANOOD,MAMA - TOM YUM INSTANT NOODLE / (20 X 90G),20.0000 
MANDA5,5 POUNDS MANDARINE,16.5000 
MANDALEAF,BIG BOX MANDARIN WITH LEAF,46.8000 
MANGO,MANGO *MEDIUM SOFT* ( 6 TO 8 PCS - 4 KG ),17.5000 
MANGO15KG,FROZEN MANGO PUREE (10% SUGAR) / 15 KG,189.8500 
MANGOATAULFO,MANGO ATAULFO (4KG),23.9500 
MANGOFIRM,MANGO *HARD* ( 6 TO 8 PCS - 4 KG ),17.5000 
MANGOFIRMPCS,( PCS ) *HARD* MANGO,2.7500 
MANGOPURE,FROZEN MANGO PUREE (6X1KG),84.9000 
MANICO,O SOLE MIO - FROZEN MANICOTTI CHEESE SPINACH (60UN),61.2000 
MAPLELEAF,MAPLE LEAF - CHICKEN NUGGETS (4KG),51.8500 
MAPLELEAFBURGER,MAPLE LEAF - CRISPY CHICKEN BREAST BURGERS (4KG),57.7000 
MAPLELEAFFILLETS,MAPLE LEAF - CRISPY CHICKEN FILLETS (4KG),67.7000 
MAPLESYR,MAPLE SYRUP IN CANS (24X540ML),199.8000 
MAPLESYRUPBERNARD,BERNARD PURE - MAPLE SYRUP 4L,62.2500 
MARG,MARGARINE SAPORITO (13KG),47.5000 
MARG17,MARGARINE / 1.7KG,11.4000 
MARGGOLD,GOLDEN GATE- MARGARINE 13KG,40.7000 
MARGSOY,MARGARINE SOYA 4KG,31.9500 
MARIOFF,(5315) 3/8 CLEARCOAT CAVENDISH,33.0000 
MARJ,WHOLE MARJORAM (5LBS),35.7000 
MARMPORT,GOOD MORNING - ORANGE JAM PORTION / 200X10ML,22.5500 
MARU-010,HIME MARU AMANOYA (20X98G),46.9500 
MASCARPONE,SAPUTO - MASCARPONE (2 X 2KG),79.9500 
MASECA,MASECA - GLUTEN FREE INSTANT CORN FLOUR (1.8KG),12.8500 
MASTERARC,MASTER BOX ARCADIAN MIX (4X3LB),48.7000 
MATZBALL,MATZOH BALL MIX,57.0500 
MAX38,MAX FRITES 3/8 CONGELEE / STRAIGHT CUT / 6X2.27KG,36.3500 
MAYO,SAMANTHA MAYONNAISE (16 LT),83.6500 
MAYO12X340,HELLMANN'S - MAYONNAISE SQUEEZE BOTTLE / 12 X 340ML,63.9000 
MAYOD,DAMEN MAYONNAISE (15LT),56.5000 
MAYOSPICY378,HELLMANS - SPICY MAYONNAISE (2 X 3.78L),69.9500 
MAYOVEGE,MAYONNAISE VEGAN (2 X 3.78 L),109.8500 
MC120,POMME MCINTOSH CLASSEE #120,49.9500 
MCOR,MCCAIN (482309) ONION RINGS (4KG),32.7500 
MCPLANK,MCCAIN (497393) SWEET PLANK,54.0500 
MCSAV,MCCAIN (2453) SAVORY WEDGES,75.2000 
MEATPAP525,MEAT PAPER 5.25X5.25 (1000UN),11.9500 
MEDEGGS,MEDIUM WHITE EGGS CANADIAN (15X12UN),53.7000 
MEDOLIVEOIL,MEDITERRANEAN OLIVE OIL 18 LITRES,258.7500 
MELANGELEGUME2KG,MIX PEI FROZEN (PRINCE EDOUARD) BAG 2KG,10.1000 
MELCAR,MELASSE CAROB 12X500ML,68.9000 
MELILO,ESSENCE DE MELILOT 130ML,33.7000 
